"","Species","mean_l_max","max_juv_lengths"
"1","Abudefduf sexfasciatus",17.3333333333333,5.77777777777778
"2","Abudefduf sordidus",23.5,7.83333333333333
"3","Abudefduf vaigiensis",18.9666665395101,6.3222221798367
"4","Acanthopagrus bifasciatus",NA,NA
"5","Acanthurus nigrofuscus",18.5,6.16666666666667
"6","Aethaloperca rogaa",60,20
"7","Aetobatus ocellatus",152.800003051758,50.9333343505859
"8","Aluterus scriptus",77.9000000953674,25.9666666984558
"9","Amanses scopas",19.5,6.5
"10","Amblyeleotris steinitzi",10.5,3.5
"11","Amblyglyphidodon indicus",10.1500000953674,3.38333336512248
"12","Anampses lineatus",12.5,4.16666666666667
"13","Anampses meleagrides",21.5,7.16666666666667
"14","Anampses twistii",18,6
"15","Antennarius commerson",45,15
"16","Arothron hispidus",49,16.3333333333333
"17","Aspidontus dussumieri",12,4
"18","Aspidontus taeniatus",11,3.66666666666667
"19","Asterropteryx semipunctata",5.11999998092651,1.70666666030884
"20","Atherinomorus lacunosus",25,8.33333333333333
"21","Atrosalarias fuscus",12.25,4.08333333333333
"22","Balistapus undulatus",27.6666666666667,9.22222222222222
"23","Blenniella periophthalmus",15.25,5.08333333333333
"24","Bodianus anthioides",22.5,7.5
"25","Bodianus axillaris",21,7
"26","Bodianus diana",20.9499998092651,6.98333326975505
"27","Bryaninops natans",2.43333339691162,0.811111132303874
"28","Caesio lunaris",32.3333333333333,10.7777777777778
"29","Caesio varilineata",40,13.3333333333333
"30","Calotomus viridescens",31.2999992370605,10.4333330790202
"31","Cantherhines pardalis",23.3333333333333,7.77777777777778
"32","Canthigaster cyanospilota",10.5999999046326,3.53333330154419
"33","Centropyge multispinis",11.5,3.83333333333333
"34","Cephalopholis argus",49.7599998474121,16.586666615804
"35","Cephalopholis hemistiktos",NA,NA
"36","Cephalopholis miniata",43.0714285714286,14.3571428571429
"37","Cetoscarus bicolor",45.2666664123535,15.0888888041178
"38","Chaetodon auriga",20.2999998728434,6.76666662428114
"39","Chaetodon melannotus",16.5,5.5
"40","Chaetodon trifascialis",16.1666666666667,5.38888888888889
"41","Cheilinus lunulatus",40.5,13.5
"42","Cheilio inermis",50,16.6666666666667
"43","Cheilodipterus macrodon",25,8.33333333333333
"44","Cheilodipterus quinquelineatus",12.75,4.25
"45","Chlorurus sordidus",NA,NA
"46","Chromis pelloura",10.8999996185303,3.63333320617676
"47","Chromis ternatensis",10.25,3.41666666666667
"48","Chromis viridis",9.79999987284342,3.26666662428114
"49","Chromis weberi",13.5,4.5
"50","Chrysiptera unimaculata",9,3
"51","Cirrhitichthys oxycephalus",9.25,3.08333333333333
"52","Cirripectes castaneus",11.0666666030884,3.68888886769613
"53","Coris aygula",90,30
"54","Corythoichthys nigripectus",11,3.66666666666667
"55","Crenimugil crenilabis",53.3333333333333,17.7777777777778
"56","Ctenochaetus striatus",NA,NA
"57","Ctenogobiops maculosus",4.40000009536743,1.46666669845581
"58","Cyclichthys spilostylus",31,10.3333333333333
"59","Dascyllus trimaculatus",12.766666730245,4.25555557674832
"60","Diodon holocanthus",39.3333333333333,13.1111111111111
"61","Diodon hystrix",61.1750001907349,20.391666730245
"62","Dunckerocampus multiannulatus",18,6
"63","Ecsenius midas",13,4.33333333333333
"64","Enneapterygius pusillus",2.75,0.916666666666667
"65","Epinephelus fasciatus",NA,NA
"66","Epinephelus malabaricus",163.6,54.5333333333333
"67","Epinephelus tauvina",115.4,38.4666666666667
"68","Eviota guttata",2.86666671435038,0.955555571450127
"69","Eviota prasina",3.5,1.16666666666667
"70","Eviota zebrina",2.45000004768372,0.816666682561239
"71","Exallias brevis",14.5,4.83333333333333
"72","Fistularia commersonii",101.130768996019,33.7102563320062
"73","Fusigobius longispinus",5,1.66666666666667
"74","Fusigobius neophytus",6.33333333333333,2.11111111111111
"75","Gerres oyena",26.7400001525879,8.91333338419596
"76","Gnatholepis anjerensis",8.46666653951009,2.8222221798367
"77","Gobiodon citrinus",6.06666660308838,2.02222220102946
"78","Gobiodon rivulatus",5.13333336512248,1.71111112170749
"79","Gomphosus caeruleus",31,10.3333333333333
"80","Grammistes sexlineatus",28.5,9.5
"81","Gymnothorax flavimarginatus",122,40.6666666666667
"82","Gymnothorax javanicus",235.25,78.4166666666667
