"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight","R2m","R2c"
"17",-1.14049196491442,NA,NA,NA,NA,0.0215084785124969,NA,NA,4,-125.554435350083,259.553315144611,0,0.289157285750825,0.152283264320314,0.369340519135781
"81",-1.0468300912813,NA,NA,NA,NA,0.0203757887447984,NA,"+",5,-125.111408032042,260.896973367455,1.34365822284383,0.147693867691235,0.177944853419042,0.384377151181733
"1",-0.601947991277494,NA,NA,NA,NA,NA,NA,NA,3,-127.485198379697,261.23413302313,1.68081787851861,0.124781204816263,0,0.348198707615253
"65",-0.519368243041351,NA,NA,NA,NA,NA,NA,"+",4,-126.450908839573,261.34626212359,1.79294697897888,0.117977896831144,0.033501579533769,0.358491098549077
"19",-1.33143766569949,NA,"+",NA,NA,0.0223729968416242,NA,NA,9,-121.135824925686,262.389296910196,2.83598176558479,0.0700339341829664,0.299215060755561,0.433109492820066
"33",-0.796103483330412,NA,NA,NA,NA,NA,"+",NA,4,-127.058693435696,262.561831315836,3.00851617122436,0.064245565106101,0.0318834487592615,0.309485732484542
"49",-1.13519325825054,NA,NA,NA,NA,0.0215938086685617,"+",NA,5,-125.990703986424,262.655565276218,3.10225013160675,0.0613040381278923,0.148575724767481,0.374872641156792
"97",-0.689691787215169,NA,NA,NA,NA,NA,"+","+",5,-126.223539087029,263.121235477428,3.56792033281704,0.0485702214142801,0.0681834802986251,0.341966189531409
"66",-0.369745451454805,"+",NA,NA,NA,NA,NA,"+",6,-125.213322739533,263.38119093361,3.82787578899911,0.0426502393943505,0.0543075727492447,0.365713338247197
"18",-1.04806394197291,"+",NA,NA,NA,0.0208478963185336,NA,NA,6,-125.452253855289,263.859053165123,4.30573802051202,0.0335857466849427,0.14989096017505,0.396661610608985
