"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight"
"65",0.488189796021346,NA,NA,NA,NA,NA,NA,"+",4,-141.462768231045,291.369980906534,0,0.240397004382914
"1",0.577200473379125,NA,NA,NA,NA,NA,NA,NA,3,-142.56163236295,291.387000989637,0.0170200831032616,0.238359896118785
"33",0.728778913836631,NA,NA,NA,NA,NA,"+",NA,4,-142.466610285051,293.377665014546,2.0076841080118,0.0880979873490472
"97",0.627096767688556,NA,NA,NA,NA,NA,"+","+",5,-141.416682068613,293.507521440597,2.13754053406359,0.0825596840310008
"2",0.58525605998695,"+",NA,NA,NA,NA,NA,NA,5,-141.649346636531,293.972850576432,2.60286966989855,0.0654218896548347
"66",0.652980897680076,"+",NA,NA,NA,NA,NA,"+",6,-140.665224085273,294.284993625092,2.91501271855856,0.0559682957076178
"73",-0.362784037656959,NA,NA,NA,"+",NA,NA,"+",8,-138.602807520043,294.880033644738,3.51005273820385,0.0415652870292981
"105",-0.273163320908867,NA,NA,NA,"+",NA,"+","+",9,-137.994988809672,296.107624678167,4.73764377163349,0.0224989773214435
"34",0.762151683568844,"+",NA,NA,NA,NA,"+",NA,6,-141.612331082127,296.179207618799,4.809226712265,0.0217079463656804
"9",0.352804844652128,NA,NA,NA,"+",NA,NA,NA,7,-140.449239821262,296.185835964362,4.81585505782834,0.0216361215663289
"98",0.834472468898005,"+",NA,NA,NA,NA,"+","+",7,-140.610524243347,296.508404808533,5.13842390199966,0.0184134208105192
"41",0.43333607393491,NA,NA,NA,"+",NA,"+",NA,8,-139.767810013578,297.210038631808,5.84005772527394,0.0129651226493018
"5",0.140164478323919,NA,NA,0.00823084737725099,NA,NA,NA,NA,4,-144.766411523857,297.977267492158,6.60728658562419,0.00883435809899034
"74",-0.189949717514961,"+",NA,NA,"+",NA,NA,"+",10,-137.712326011146,298.043699641339,6.6737187348055,0.00854573539420667
"67",0.596425332033169,NA,"+",NA,NA,NA,NA,"+",9,-139.228258419893,298.574163898609,7.20418299207512,0.00655481730394987
"17",0.890891028754879,NA,NA,NA,NA,-0.0123448220057369,NA,NA,4,-145.228063484148,298.90057141274,7.53059050620578,0.0055677804329154
"69",0.106290507342545,NA,NA,0.00752401944552923,NA,NA,NA,"+",5,-144.121487743979,298.917132791328,7.54715188479452,0.00552186573811523
"106",-0.0447223262115899,"+",NA,NA,"+",NA,"+","+",11,-136.952009635659,299.084742162884,7.71476125635047,0.00507796765403578
"3",0.816076655230933,NA,"+",NA,NA,NA,NA,NA,8,-140.722632790183,299.119684185016,7.74970327848257,0.00499002092116339
"10",0.479054012238015,"+",NA,NA,"+",NA,NA,NA,9,-139.63452625712,299.386699573063,8.01671866652902,0.00436637178169583
"81",0.777412729645485,NA,NA,NA,NA,-0.011114188615768,NA,"+",5,-144.372290851334,299.418739006039,8.04875809950511,0.00429698103767487
"37",0.287070851274898,NA,NA,0.00832474690451458,NA,NA,"+",NA,5,-144.657782382621,299.989722068613,8.61974116207921,0.00322980305139183
"6",0.308148325635358,"+",NA,0.00842678873005156,NA,NA,NA,NA,6,-143.813398618553,300.581342691651,9.21136178511688,0.00240274263398265
"99",0.793079373697664,NA,"+",NA,NA,NA,"+","+",10,-138.981644718516,300.582337056079,9.21235614954566,0.00240154832999723
"42",0.639642591783269,"+",NA,NA,"+",NA,"+",NA,10,-139.043780230152,300.706608079352,9.33662717281828,0.00225686832452369
"35",1.02011239979328,NA,"+",NA,NA,NA,"+",NA,9,-140.434122595336,300.985892249496,9.61591134296191,0.001962729428597
"101",0.246282277947321,NA,NA,0.00764853286612576,NA,NA,"+","+",6,-144.030409426586,301.015364307717,9.64538340118315,0.00193401865156884
"49",0.919185785813894,NA,NA,NA,NA,-0.0115299845491868,"+",NA,5,-145.365789057206,301.405735417783,10.0357545112489,0.0015910823151136
