"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight","R2m","R2c","id"
"17",-1.14049196491442,NA,NA,NA,NA,0.0215084785124969,NA,NA,4,-125.554435350083,259.553315144611,0,0.289157285750825,0.152283264320314,0.369340519135781,"PostS1/PreS1"
"81",-1.0468300912813,NA,NA,NA,NA,0.0203757887447984,NA,"+",5,-125.111408032042,260.896973367455,1.34365822284383,0.147693867691235,0.177944853419042,0.384377151181733,"PostS1/PreS1"
"1",-0.601947991277494,NA,NA,NA,NA,NA,NA,NA,3,-127.485198379697,261.23413302313,1.68081787851861,0.124781204816263,0,0.348198707615253,"PostS1/PreS1"
"65",-0.519368243041351,NA,NA,NA,NA,NA,NA,"+",4,-126.450908839573,261.34626212359,1.79294697897888,0.117977896831144,0.033501579533769,0.358491098549077,"PostS1/PreS1"
"19",-1.33143766569949,NA,"+",NA,NA,0.0223729968416242,NA,NA,9,-121.135824925686,262.389296910196,2.83598176558479,0.0700339341829664,0.299215060755561,0.433109492820066,"PostS1/PreS1"
"33",-0.796103483330412,NA,NA,NA,NA,NA,"+",NA,4,-127.058693435696,262.561831315836,3.00851617122436,0.064245565106101,0.0318834487592615,0.309485732484542,"PostS1/PreS1"
"49",-1.13519325825054,NA,NA,NA,NA,0.0215938086685617,"+",NA,5,-125.990703986424,262.655565276218,3.10225013160675,0.0613040381278923,0.148575724767481,0.374872641156792,"PostS1/PreS1"
"97",-0.689691787215169,NA,NA,NA,NA,NA,"+","+",5,-126.223539087029,263.121235477428,3.56792033281704,0.0485702214142801,0.0681834802986251,0.341966189531409,"PostS1/PreS1"
"66",-0.369745451454805,"+",NA,NA,NA,NA,NA,"+",6,-125.213322739533,263.38119093361,3.82787578899911,0.0426502393943505,0.0543075727492447,0.365713338247197,"PostS1/PreS1"
"18",-1.04806394197291,"+",NA,NA,NA,0.0208478963185336,NA,NA,6,-125.452253855289,263.859053165123,4.30573802051202,0.0335857466849427,0.14989096017505,0.396661610608985,"PostS1/PreS1"
"651",0.488189796021346,NA,NA,NA,NA,NA,NA,"+",4,-141.462768231045,291.369980906534,0,0.273734253394474,0.0281301007314041,0.466124336452426,"PostS3/PostS1"
"11",0.577200473379125,NA,NA,NA,NA,NA,NA,NA,3,-142.56163236295,291.387000989637,0.0170200831032616,0.27141464749424,0,0.470302284539313,"PostS3/PostS1"
"331",0.728778913836631,NA,NA,NA,NA,NA,"+",NA,4,-142.466610285051,293.377665014546,2.0076841080118,0.100315046996739,0.0118474550459182,0.442731136926058,"PostS3/PostS1"
"971",0.627096767688556,NA,NA,NA,NA,NA,"+","+",5,-141.416682068613,293.507521440597,2.13754053406359,0.0940087149867826,0.0474105232592602,0.451900067851554,"PostS3/PostS1"
"2",0.58525605998695,"+",NA,NA,NA,NA,NA,NA,5,-141.649346636531,293.972850576432,2.60286966989855,0.0744943231147627,0.00972914605902057,0.491645444843873,"PostS3/PostS1"
"661",0.652980897680076,"+",NA,NA,NA,NA,NA,"+",6,-140.665224085273,294.284993625092,2.91501271855856,0.0637297443810194,0.0308079269654331,0.495894590980637,"PostS3/PostS1"
"73",-0.362784037656959,NA,NA,NA,"+",NA,NA,"+",8,-138.602807520043,294.880033644738,3.51005273820385,0.0473293868253402,0.0852894476680323,0.488206678015606,"PostS3/PostS1"
"105",-0.273163320908867,NA,NA,NA,"+",NA,"+","+",9,-137.994988809672,296.107624678167,4.73764377163349,0.0256190411982616,0.0734271036932895,0.501390942931916,"PostS3/PostS1"
"34",0.762151683568844,"+",NA,NA,NA,NA,"+",NA,6,-141.612331082127,296.179207618799,4.809226712265,0.0247183133849364,0.0183972712210273,0.47342842716987,"PostS3/PostS1"
"9",0.352804844652128,NA,NA,NA,"+",NA,NA,NA,7,-140.449239821262,296.185835964362,4.81585505782834,0.0246365282234442,0.0433027274788101,0.476050396797703,"PostS3/PostS1"
